ville,pays,latitude,longitude,timestamp_utc,date,heure,jour_semaine,is_weekend,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2026-07-16T11:06:55Z,2026-07-16,11,Thursday,False,2,79.04,0.02,0.08,68.47,0.23,3.09,4.36,0.25
Antananarivo,MG,-18.8792,47.5079,2026-07-19T18:57:06Z,2026-07-19,18,Sunday,True,1,200.59,0,1.86,29.37,0.55,8.79,13.51,2.5
Nairobi,KE,-1.2921,36.8219,2026-07-16T11:06:57Z,2026-07-16,11,Thursday,False,2,115.44,0.03,0.19,60.77,0.13,4.84,8.02,0.45
Nairobi,KE,-1.2921,36.8219,2026-07-19T18:57:10Z,2026-07-19,18,Sunday,True,2,131.61,0,0.37,69.55,0.11,7.88,9.82,0.53
New York,US,40.7128,-74.006,2026-07-16T11:04:05Z,2026-07-16,11,Thursday,False,3,598.35,0.05,10.87,38.99,2.27,48.3,49.11,2.51
New York,US,40.7128,-74.006,2026-07-19T18:57:12Z,2026-07-19,18,Sunday,True,3,521.34,0.2,1.4,119.77,1.16,7.11,7.31,0.29
Paris,FR,48.8566,2.3522,2026-07-15T11:00:00Z,2026-07-15,11,Wednesday,False,3,108.12,0.08,1.18,113.71,0.66,5.33,6.33,3.64
Paris,FR,48.8566,2.3522,2026-07-15T12:00:00Z,2026-07-15,12,Wednesday,False,3,106.81,0.06,1.04,115.31,0.63,5.25,6.19,3.45
Paris,FR,48.8566,2.3522,2026-07-15T13:00:00Z,2026-07-15,13,Wednesday,False,3,108.82,0.08,1.45,114.5,0.72,5.6,6.45,3.63
Paris,FR,48.8566,2.3522,2026-07-15T14:00:00Z,2026-07-15,14,Wednesday,False,3,111.55,0.1,2.32,109.09,0.8,6.08,6.81,4
Paris,FR,48.8566,2.3522,2026-07-15T15:00:00Z,2026-07-15,15,Wednesday,False,3,114.6,0.11,3.53,104.17,0.83,6.47,7.12,4.36
Paris,FR,48.8566,2.3522,2026-07-15T16:00:00Z,2026-07-15,16,Wednesday,False,2,115.76,0.11,4.74,99.1,0.86,6.69,7.29,4.64
Paris,FR,48.8566,2.3522,2026-07-15T17:00:00Z,2026-07-15,17,Wednesday,False,2,117.04,0.1,5.29,96.12,0.89,6.83,7.39,4.88
Paris,FR,48.8566,2.3522,2026-07-15T18:00:00Z,2026-07-15,18,Wednesday,False,2,117.31,0.07,5.31,94.97,0.89,6.85,7.38,5.21
